observable,e,value,derivative,abs_sensitivity,relative_condition_number,delta_e_for_1pct_relative_noise
width_residue,0.0804375,0.9967596543769968,-0.08069899262754142,0.08069899262754142,0.006512327411099984,0.12351574932012434
width_residue,0.0835,0.9965077771899223,-0.0837926225076374,0.0837926225076374,0.007021203586707422,0.11892547904191615
width_residue,0.0865625,0.9962464221234373,-0.0868886432891748,0.0868886432891748,0.00754963633263346,0.11465784070397111
width_residue,0.089625,0.9959755817162387,-0.08998714591532513,0.08998714591532513,0.008097686429986015,0.11067976115760113
width_residue,0.0926875,0.9956952482279656,-0.09308822168726379,0.09308822168726379,0.008665417016897168,0.1069625383513149
width_residue,0.09575,0.9954054136380814,-0.09619196227800872,0.09619196227800872,0.009252893606893853,0.10348114229765014
width_residue,0.0988125,0.9951060696447138,-0.099298459746386,0.099298459746386,0.009860184108004641,0.10021364603099304
width_residue,0.101875,0.9947972076634514,-0.10240780655112695,0.10240780655112695,0.01048735884261304,0.09714075920245399
width_residue,0.1049375,0.9944788188260975,-0.10552009556510245,0.10552009556510245,0.011134490568068353,0.09424544334425253
width_residue,0.108,0.9941508939793797,-0.10863542008969927,0.10863542008969927,0.011801654498065436,0.09151259259259259
width_residue,0.1110625,0.9938134236836158,-0.11175387386934427,0.11175387386934427,0.012488928324805307,0.08892876723410244
width_residue,0.114125,0.9934663982113336,-0.11487555110618139,0.11487555110618139,0.013196392241948893,0.08648197015334065
width_residue,0.1171875,0.9931098075458473,-0.11800054647490729,0.11800054647490729,0.013924128968376756,0.08416145833333333
width_residue,0.12025,0.9927436413797874,-0.1211289551377713,0.1211289551377713,0.014672223772768214,0.08195758316008316
width_residue,0.1233125,0.9923678891135838,-0.12426087275974525,0.12426087275974525,0.015440764499013599,0.07986165452356817
width_residue,0.126375,0.9919825398539028,-0.12739639552386903,0.12739639552386903,0.016229841592474075,0.07786582467853612
width_residue,0.1294375,0.9915875824120379,-0.1305356201467783,0.1305356201467783,0.017039548127103992,0.07596298859246742
width_residue,0.1325,0.9911830053022499,-0.13367864389441952,0.13367864389441952,0.017869979833451028,0.07414669811320755
width_residue,0.1355625,0.9907687967400618,-0.13682556459795958,0.13682556459795958,0.01872123512755041,0.07241108777086214
width_residue,0.138625,0.9903449446405025,-0.13997648066989546,0.13997648066989546,0.01959341514072962,0.0707508104147881
width_residue,0.1416875,0.9899114366163015,-0.14313149112037113,0.14313149112037113,0.02048662375034088,0.069160981197618
width_residue,0.14475,0.9894682599760338,-0.14629069557370747,0.14629069557370747,0.021400967611439153,0.06763712867012091
width_residue,0.1478125,0.9890154017222128,-0.14945419428515277,0.14945419428515277,0.022336556189424192,0.06617515195560253
width_residue,0.150875,0.9885528485493328,-0.15262208815786013,0.15262208815786013,0.02329350179366563,0.06477128314001657
width_residue,0.1539375,0.9880805868418577,-0.15579447876009905,0.15579447876009905,0.024271919612130956,0.06342205415144132
width_residue,0.157,0.9875986026721585,-0.1589714683427083,0.1589714683427083,0.02527192774703671,0.062124267515923565
width_residue,0.1600625,0.9871068817983948,-0.16215315985679749,0.16215315985679749,0.02629364725154412,0.06087497047051933
width_residue,0.163125,0.9866054096623432,-0.16533965697170466,0.16533965697170466,0.027337202167520967,0.059671431992337175
width_residue,0.1661875,0.9860941713871703,-0.1685310640932181,0.1685310640932181,0.02840271956439239,0.05851112236743136
width_residue,0.16925,0.9855731517751485,-0.1717274863820694,0.1717274863820694,0.029490329579103827,0.05739169497784341
width_residue,0.1723125,0.9850423353053157,-0.1749290297727066,0.1749290297727066,0.030600165457220475,0.056310970030830604
width_residue,0.175375,0.9845017061310762,-0.17813580099235565,0.17813580099235565,0.031732363595188134,0.05526691999287242
width_residue,0.1784375,0.9839512480777439,-0.1813479075803777,0.1813479075803777,0.03288706358378121,0.05425765652364273
width_residue,0.1815,0.9833909446400246,-0.18456545790793205,0.18456545790793205,0.03406440825276464,0.05328141873278237
width_residue,0.1845625,0.9828207789794383,-0.1877885611979529,0.1877885611979529,0.0352645437167973,0.05233656260582459
width_residue,0.187625,0.9822407339216798,-0.19101732754544926,0.19101732754544926,0.03648761942260545,0.05142155146568955
width_residue,0.1906875,0.9816507919539157,-0.1942518679381374,0.1942518679381374,0.03773378819745557,0.05053494735332676
width_residue,0.19375,0.9810509352220199,-0.19749229427741463,0.19749229427741463,0.03900320629895694,0.04967540322580644
width_residue,0.1968125,0.9804411455277415,-0.200738719399686,0.200738719399686,0.040296033466225865,0.04884165588281994
width_residue,0.199875,0.9798214043258088,-0.20399125709805158,0.20399125709805158,0.04161243297244338,0.04803251954346467
width_residue,0.2029375,0.9791916927209656,-0.20725002214436666,0.20725002214436666,0.04295257167884047,0.04724688000461964
width_residue,0.206,0.97855199146494,-0.21051513031168426,0.21051513031168426,0.044316620090145406,0.04648368932038835
width_residue,0.2090625,0.9779022809533424,-0.21378669839709147,0.21378669839709147,0.04570475241152895,0.045741960949177866
width_residue,0.212125,0.9772425412224951,-0.21706484424494998,0.21706484424494998,0.047117146607084395,0.04502076532115498
width_residue,0.2151875,0.9765727519461875,-0.22034968677055364,0.22034968677055364,0.0485539844598811,0.04431922578419983
width_residue,0.21825,0.9758928924323611,-0.22364134598421298,0.22364134598421298,0.050015451633630456,0.04363651489117983
width_residue,0.2213125,0.9752029416197174,-0.2269399430157803,0.2269399430157803,0.05150173773600561,0.0429718509954815
width_residue,0.224375,0.9745028780742517,-0.23024560013962714,0.23024560013962714,0.05301303638365707,0.04232449512534819
width_residue,0.2274375,0.9737926799857093,-0.23355844080008664,0.23355844080008664,0.054549545268967575,0.041693748110744715
