dataset,e,a,pc1,pc2,isomap1
scale_overlay,0.8,1.5,2.4666196642019855,0.3926029446551098,nan
scale_overlay,0.8,2.5,2.466619664201982,0.3926029446551125,nan
scale_overlay,0.8,4.0,2.4666196642019216,0.39260294465538603,nan
scale_overlay,0.825,0.75,2.996836342257401,0.37587314182643805,nan
scale_overlay,0.825,1.0,2.996836342257037,0.3758731418278414,nan
scale_overlay,0.825,1.5,2.996836342257401,0.37587314182643805,nan
scale_overlay,0.825,2.5,2.996836342257467,0.3758731418262,nan
scale_overlay,0.825,4.0,2.996836342257037,0.3758731418278414,nan
scale_overlay,0.85,0.75,3.598157863791272,0.33505831425828525,nan
scale_overlay,0.85,1.0,3.5981578637913145,0.3350583142581165,nan
scale_overlay,0.85,1.5,3.598157863791272,0.33505831425828525,nan
scale_overlay,0.85,2.5,3.5981578637913163,0.3350583142581147,nan
scale_overlay,0.85,4.0,3.5981578637913145,0.3350583142581165,nan
scale_overlay,0.875,0.75,4.290744790024721,0.2580335736941448,nan
scale_overlay,0.875,1.0,4.290744790024723,0.2580335736941439,nan
scale_overlay,0.875,1.5,4.290744790024721,0.2580335736941448,nan
scale_overlay,0.875,2.5,4.290744790024721,0.25803357369414304,nan
scale_overlay,0.875,4.0,4.290744790024723,0.2580335736941439,nan
scale_overlay,0.9,0.75,5.1059543588495355,0.12410606182416739,nan
