e,w,a1,a2,mean_collapse_error,max_collapse_error
0.4,0.5,1.5,2.5,2.5327281028935254e-08,2.5365151477814132e-08
0.4,0.5,1.5,4.0,5.614801426807439e-09,5.6318058995544505e-09
0.4,0.5,2.5,4.0,1.97124915031674e-08,1.973511083666538e-08
0.4,0.6,0.75,1.0,1.5885702104524356e-15,6.305832221348474e-15
0.4,0.6,0.75,1.5,0.0,0.0
0.4,0.6,0.75,2.5,2.8847614034597413e-15,6.112531465858673e-15
0.4,0.6,0.75,4.0,1.5885702104524356e-15,6.305832221348474e-15
0.4,0.6,1.0,1.5,1.5885702104524356e-15,6.305832221348474e-15
0.4,0.6,1.0,2.5,3.614536211496135e-15,9.268866325458892e-15
0.4,0.6,1.0,4.0,0.0,0.0
0.4,0.6,1.5,2.5,2.8847614034597413e-15,6.112531465858673e-15
0.4,0.6,1.5,4.0,1.5885702104524356e-15,6.305832221348474e-15
0.4,0.6,2.5,4.0,3.614536211496135e-15,9.268866325458892e-15
0.4,0.7,0.75,1.0,5.5421534792482665e-15,1.4054849075529413e-14
0.4,0.7,0.75,1.5,0.0,0.0
0.4,0.7,0.75,2.5,5.7905458993496585e-15,1.4548582117584954e-14
0.4,0.7,0.75,4.0,5.5421534792482665e-15,1.4054849075529413e-14
0.4,0.7,1.0,1.5,5.5421534792482665e-15,1.4054849075529413e-14
0.4,0.7,1.0,2.5,1.8412789633891066e-15,1.0453945129199278e-14
0.4,0.7,1.0,4.0,0.0,0.0
0.4,0.7,1.5,2.5,5.7905458993496585e-15,1.4548582117584954e-14
0.4,0.7,1.5,4.0,5.5421534792482665e-15,1.4054849075529413e-14
0.4,0.7,2.5,4.0,1.8412789633891066e-15,1.0453945129199278e-14
0.45,0.3,0.75,1.0,5.269350216381919e-09,5.419166435080376e-09
0.45,0.3,0.75,1.5,0.0,0.0
0.45,0.3,0.75,2.5,3.724275214064155e-12,1.7542840298678824e-10
0.45,0.3,0.75,4.0,5.269350216381919e-09,5.419166435080376e-09
0.45,0.3,1.0,1.5,5.269350216381919e-09,5.419166435080376e-09
0.45,0.3,1.0,2.5,5.26907250015882e-09,5.380590705942013e-09
0.45,0.3,1.0,4.0,0.0,0.0
0.45,0.3,1.5,2.5,3.724275214064155e-12,1.7542840298678824e-10
0.45,0.3,1.5,4.0,5.269350216381919e-09,5.419166435080376e-09
0.45,0.3,2.5,4.0,5.26907250015882e-09,5.380590705942013e-09
0.45,0.4,0.75,1.0,1.441027208648774e-15,6.1658085490700775e-15
0.45,0.4,0.75,1.5,0.0,0.0
0.45,0.4,0.75,2.5,2.1429623373608232e-15,6.486555812527868e-15
0.45,0.4,0.75,4.0,1.441027208648774e-15,6.1658085490700775e-15
0.45,0.4,1.0,1.5,1.441027208648774e-15,6.1658085490700775e-15
0.45,0.4,1.0,2.5,1.8701515161192567e-15,7.611419451332189e-15
0.45,0.4,1.0,4.0,0.0,0.0
0.45,0.4,1.5,2.5,2.1429623373608232e-15,6.486555812527868e-15
0.45,0.4,1.5,4.0,1.441027208648774e-15,6.1658085490700775e-15
0.45,0.4,2.5,4.0,1.8701515161192567e-15,7.611419451332189e-15
0.45,0.5,0.75,1.0,1.0536910851836544e-08,1.057444900724944e-08
0.45,0.5,0.75,1.5,0.0,0.0
0.45,0.5,0.75,2.5,2.107354292835015e-08,2.1099590024585927e-08
0.45,0.5,0.75,4.0,1.0536910851836544e-08,1.057444900724944e-08
0.45,0.5,1.0,1.5,1.0536910851836544e-08,1.057444900724944e-08
0.45,0.5,1.0,2.5,1.0536730951980469e-08,1.0545457736699759e-08
0.45,0.5,1.0,4.0,0.0,0.0
0.45,0.5,1.5,2.5,2.107354292835015e-08,2.1099590024585927e-08
0.45,0.5,1.5,4.0,1.0536910851836544e-08,1.057444900724944e-08
