split,observation_seed,condition,geometry_skew_bin,true_alpha,true_t,true_rotation_shift,mean_candidate_count,mean_alpha_log_span_set,mean_geometry_span_norm_set,mean_ambiguity_ratio,alpha_bank_log_span,best_geometry_bank_span_norm,consensus_geometry_bank_span_norm,best_geometry_mae_mean,consensus_geometry_mae_mean,geometry_mae_gain,geometry_bank_span_gain,consensus_beats_best_flag,consensus_tighter_flag
holdout,20260423,sparse_partial_high_noise,mid_skew,1.2481451346845953,-0.2693313050528414,37,112.0,0.4382863718481329,0.9162501519275914,0.4788884627066866,0.22656524162169112,0.3916144615800348,0.04979361225568551,0.17089460871539433,0.09182334250471867,0.07907126621067566,0.3418208493243493,1,1
holdout,20260423,sparse_partial_high_noise,high_skew,1.1892117130269413,-0.6618817448914281,0,57.4,0.29147811779338106,0.8654332265964177,0.33681424753651046,0.053950256843221335,0.3612521800516543,0.05442638918765147,0.06810526002000468,0.06285295451128184,0.00525230550872284,0.30682579086400286,1,1
holdout,20260424,sparse_full_noisy,low_skew,1.220903502241568,-0.08422455438773073,27,36.2,0.46826285862268546,0.7931258919190322,0.5932636489110511,0.380772850619722,0.27886469748851206,0.06430531758208065,0.08713840235997246,0.029004639537256405,0.058133762822716054,0.21455937990643142,1,1
holdout,20260424,sparse_full_noisy,mid_skew,1.2370805507722022,-0.2678446141747568,36,23.4,0.5494829421550164,0.7159502142915177,0.7802113817244831,0.019726712669818874,0.8268150756438164,0.16362440552044566,0.1243328044868306,0.05195759866955026,0.07237520581728032,0.6631906701233707,1,1
holdout,20260424,sparse_full_noisy,high_skew,1.1240444792751552,0.6531923374747928,11,47.0,0.2519061601852364,0.8323554701131404,0.30383101960167924,0.11197911752379536,0.5397255542878043,0.08338622253439842,0.14889353940154745,0.0955348288044939,0.05335871059705355,0.4563393317534059,1,1
holdout,20260424,sparse_partial_high_noise,low_skew,0.7901446823273661,-0.11149395428809702,51,110.0,0.5712137092713883,0.9163417149241819,0.6238700791860337,0.03571916981300463,0.5856215809685742,0.05402769222789137,0.07335224870879162,0.06072834453433702,0.012623904174454595,0.5315938887406828,1,1
holdout,20260424,sparse_partial_high_noise,mid_skew,0.8649653549713395,-0.2613324334384325,2,92.6,0.42928998959751336,0.8884171253505851,0.48337418757044015,0.26590490459570243,0.48640444758889684,0.04252784631710695,0.10763710964844656,0.023181955457253732,0.08445515419119282,0.4438766012717899,1,1
holdout,20260424,sparse_partial_high_noise,high_skew,1.2822085684698488,0.4737218196896238,35,91.8,0.7455928308527424,0.8907641935866668,0.8377302133744952,0.5683813192832111,0.7057251073531635,0.10416985074928663,0.09440146428445649,0.07887533152021504,0.015526132764241446,0.6015552566038769,1,1
confirmation,20260425,sparse_full_noisy,low_skew,1.1796315323071715,0.16422008158074786,57,3.6,0.10732994711619588,0.28672260504329156,0.6546524531311183,0.046540059088622104,0.34772274548001,0.2615504191445587,0.045205556588531884,0.03851548472569636,0.006690071862835524,0.0861723263354513,1,1
confirmation,20260425,sparse_full_noisy,mid_skew,1.1188307723106752,0.4398380556486153,28,21.6,0.3225915510254872,0.7702607198413636,0.42133884305594804,0.2459643016377893,0.49129111513945833,0.06036392449498099,0.04575359949638924,0.06421712743976514,-0.0184635279433759,0.4309271906444773,0,1
confirmation,20260425,sparse_full_noisy,high_skew,0.8339713012585691,-0.45060961323439513,42,11.6,0.36854323433011205,0.6588546444726565,0.5688885590839596,0.3041218572992644,0.41748022213617747,0.16825119573982036,0.16797565152436222,0.11961807721710038,0.04835757430726184,0.2492290263963571,1,1
confirmation,20260425,sparse_partial_high_noise,low_skew,1.1495547960554364,0.03523116428113053,17,89.0,0.38012795246109193,0.8959511365490849,0.42453838499282026,0.02933873774334768,0.37527133922013745,0.04975174772231694,0.11459778897570354,0.09020187843071831,0.02439591054498523,0.3255195914978205,1,1
confirmation,20260425,sparse_partial_high_noise,mid_skew,1.1089816388146323,0.41077650719586833,48,96.2,0.48173830031421866,0.9138922475192086,0.5281209404502063,0.21791611833670022,0.35184611010017336,0.05360458522761686,0.18343348582712377,0.09015756884017133,0.09327591698695244,0.2982415248725565,1,1
confirmation,20260425,sparse_partial_high_noise,high_skew,1.2826531927841773,-0.5313299359465913,24,110.6,0.8647974952922726,0.9070518247468871,0.9537672225713985,0.6667916770653108,0.5350778078230674,0.09984339072026145,0.09520713146100362,0.02699848424273434,0.06820864721826929,0.4352344171028059,1,1
confirmation,20260426,sparse_full_noisy,low_skew,1.2103793013687527,0.04212600469119543,42,8.4,0.41710241244475676,0.5428398510876226,0.8870222064296625,0.4344708723523424,0.5317063562966312,0.1357055359127197,0.07425852084483386,0.0599057296421634,0.014352791202670467,0.3960008203839115,1,1
confirmation,20260426,sparse_full_noisy,mid_skew,1.1128276435635405,-0.35023869377937256,59,32.6,0.38497013915064016,0.8279156214100357,0.46600714541693655,0.2877248286089051,0.6576926402943063,0.07841221375430465,0.11391232024610917,0.03907170038642094,0.07484061985968823,0.5792804265400017,1,1
confirmation,20260426,sparse_full_noisy,high_skew,0.8937364337370768,-0.5769045728103854,17,40.8,0.2736387897598069,0.8238572072553844,0.3328906984431189,0.16405856888107254,0.34270002891678725,0.08601551941503431,0.12092576115460985,0.08156503434923493,0.03936072680537492,0.2566845095017529,1,1
confirmation,20260426,sparse_partial_high_noise,low_skew,0.8367153816937006,-0.09721380364975842,58,90.2,0.47957361440680424,0.9173436427096556,0.5230164988924114,0.3162609632284565,0.6136932329162055,0.04362385128326037,0.06280896044401005,0.049543362655671525,0.013265597788338523,0.5700693816329451,1,1
confirmation,20260426,sparse_partial_high_noise,mid_skew,1.2188639297390595,-0.2911026935130036,30,105.6,0.6366183985369614,0.9026619265602427,0.7061048447538161,0.46490626273953917,0.7506495437240349,0.09152343504219862,0.10491898700979063,0.0769527027128455,0.02796628429694513,0.6591261086818363,1,1
confirmation,20260426,sparse_partial_high_noise,high_skew,0.8019425689008923,-0.6495091928693849,42,105.4,0.5136310551657424,0.9196930592918611,0.5592869610707524,0.31994845956690054,0.46895731313032524,0.059010858031999035,0.1059488721577169,0.11377590926484786,-0.007827037107130966,0.4099464550983262,0,1
confirmation,20260427,sparse_full_noisy,low_skew,1.2484364223773405,-0.05535812108117959,3,26.2,0.5206668074270342,0.6766818727434709,0.7928095349338813,0.44774196140932954,0.801092347255396,0.1603778787934462,0.08920373389207462,0.02804762167790773,0.061156112214166884,0.6407144684619498,1,1
confirmation,20260427,sparse_full_noisy,mid_skew,1.142549518606605,-0.4232779746677641,60,23.6,0.3535276582367769,0.7677627600943113,0.47464427703476986,0.26590490459570243,0.5243814730490959,0.07132466143719914,0.08242707677694319,0.07898357830830936,0.0034434984686338294,0.45305681161189676,1,1
confirmation,20260427,sparse_full_noisy,high_skew,1.1904656127747277,-0.48602453422396796,60,15.0,0.4429041809469699,0.6942221154306121,0.6389790549747035,0.40715489739771504,0.6538269576315461,0.09030473163283481,0.1209714553799949,0.05082134889778851,0.07015010648220639,0.5635222259987113,1,1
confirmation,20260427,sparse_partial_high_noise,low_skew,1.1919344353632797,-0.14797549125154508,6,85.6,0.6475824337714295,0.9032006737413057,0.7176462397293479,0.48175598213464366,0.5135114198482326,0.07827786710370442,0.07337482378494313,0.024790517108916155,0.04858430667602698,0.43523355274452813,1,1
confirmation,20260427,sparse_partial_high_noise,mid_skew,0.8371333086222645,0.323964267389595,6,86.4,0.44755169851471,0.8881097807311302,0.504511181796189,0.26590490459570243,0.49763304103935946,0.04515591372681536,0.15280344692890593,0.07640008689077833,0.0764033600381276,0.4524771273125441,1,1
confirmation,20260427,sparse_partial_high_noise,high_skew,0.8731351834837112,-0.6812330477156526,52,93.4,0.570426816928871,0.904560999413652,0.6309840853700888,0.3679343082068783,0.47597495951006313,0.07746493763611263,0.16667612457424968,0.14290885177407245,0.023767272800177236,0.3985100218739505,1,1
