condition,true_e,replicate,pilot_perimeter_estimate,perimeter_estimate,width_estimate,major_tip_estimate,pilot_abs_error,perimeter_abs_error,width_abs_error,major_tip_abs_error
dense_low_noise,0.05,50,0.10043701136443242,0.08967924800921159,0.06708279887433126,0.4172613481825697,0.05043701136443242,0.03967924800921159,0.017082798874331256,0.3672613481825697
dense_low_noise,0.05,51,0.08519281606210202,0.07981329761181169,0.0,0.40530813266494137,0.03519281606210202,0.029813297611811687,0.05,0.3553081326649414
dense_low_noise,0.05,52,0.07336471222573762,0.022388555381193317,0.019404098719717596,0.46810849587417686,0.02336471222573762,0.027611444618806685,0.030595901280282407,0.41810849587417687
dense_low_noise,0.05,53,0.0684327486424311,0.07050249606953779,0.0,0.4327366614692317,0.018432748642431093,0.020502496069537787,0.05,0.3827366614692317
dense_low_noise,0.05,54,0.06395704086608195,0.05121920684256197,0.046943843827404644,0.4381410197031211,0.013957040866081946,0.001219206842561965,0.003056156172595359,0.3881410197031211
dense_low_noise,0.05,55,0.06343019859855625,0.02527040194292629,0.04309644992403272,0.4359937373127992,0.01343019859855625,0.024729598057073712,0.006903550075967282,0.38599373731279923
dense_low_noise,0.05,56,0.11817397173872746,3.9443045221607546e-31,0.07301397828205107,0.42644210634023366,0.06817397173872745,0.05,0.023013978282051067,0.3764421063402337
dense_low_noise,0.05,57,0.04734514535623241,3.9443045221607546e-31,0.0,0.4187737303476786,0.002654854643767593,0.05,0.05,0.36877373034767863
dense_low_noise,0.05,58,0.06329949707731947,0.045825135950056134,0.0435019685100793,0.4267327660007913,0.013299497077319464,0.004174864049943869,0.0064980314899207026,0.3767327660007913
dense_low_noise,0.05,59,0.10399028858317352,0.015008172600164713,0.06412266269012497,0.4082021145113914,0.05399028858317352,0.03499182739983529,0.014122662690124965,0.3582021145113914
dense_low_noise,0.05,60,0.08677447308822483,0.05694524754647805,0.0,0.44279052552686593,0.03677447308822483,0.006945247546478045,0.05,0.39279052552686594
dense_low_noise,0.05,61,3.9443045221607546e-31,0.0679227861893176,0.0,0.37597829560054036,0.05,0.0179227861893176,0.05,0.32597829560054037
dense_low_noise,0.05,62,0.04108160250229989,0.05141778270868415,0.040935872748953994,0.4381138257617822,0.008918397497700112,0.0014177827086841455,0.009064127251046009,0.3881138257617822
dense_low_noise,0.05,63,0.08319760418875474,0.05795423959125745,0.0734775812707191,0.5067778792729684,0.03319760418875474,0.007954239591257448,0.023477581270719097,0.45677787927296837
dense_low_noise,0.05,64,0.09294715611679347,0.03395602999586031,0.07043418779281907,0.46750875307954176,0.042947156116793464,0.016043970004139693,0.020434187792819067,0.4175087530795418
dense_low_noise,0.05,65,0.09056434594558277,3.9443045221607546e-31,0.009652087373290156,0.4186121817765355,0.040564345945582767,0.05,0.04034791262670985,0.3686121817765355
dense_low_noise,0.05,66,0.094198474370319,3.9443045221607546e-31,0.07023323814216564,0.42102805711963276,0.044198474370319,0.05,0.02023323814216564,0.37102805711963277
dense_low_noise,0.05,67,0.09042450939878105,0.0727701741395366,0.08752804565859926,0.40610112450374775,0.04042450939878105,0.022770174139536595,0.037528045658599254,0.35610112450374776
dense_low_noise,0.05,68,0.06038019127897787,3.9443045221607546e-31,0.04838287023530988,0.4529276611474906,0.010380191278977866,0.05,0.0016171297646901256,0.4029276611474906
dense_low_noise,0.05,69,0.09855173207870502,0.060193006692916495,0.050914336508090276,0.4386314655021434,0.048551732078705015,0.010193006692916493,0.000914336508090273,0.3886314655021434
dense_low_noise,0.05,70,0.0832308121751211,0.07658863862648618,0.0,0.48036179019264247,0.0332308121751211,0.02658863862648618,0.05,0.4303617901926425
dense_low_noise,0.05,71,0.03924819403935734,0.07020143808756843,0.019711270249174073,0.45068644818690223,0.010751805960642666,0.020201438087568427,0.03028872975082593,0.40068644818690224
dense_low_noise,0.05,72,0.11155486499650324,0.04859542885181492,0.0260980677594086,0.46852093772915654,0.06155486499650324,0.0014045711481850826,0.0239019322405914,0.41852093772915655
dense_low_noise,0.05,73,0.08015941539527699,0.015174541583449393,0.06084218198975252,0.4330117987674211,0.030159415395276987,0.03482545841655061,0.010842181989752515,0.3830117987674211
dense_low_noise,0.05,74,0.04213703527864651,0.08285635042825462,0.0,0.4675997053396344,0.007862964721353491,0.03285635042825462,0.05,0.4175997053396344
dense_low_noise,0.05,75,0.09408616873606232,0.09275488031860904,0.0352203006782028,0.49055783728262276,0.04408616873606232,0.04275488031860904,0.0147796993217972,0.44055783728262277
dense_low_noise,0.05,76,0.07501777634996676,0.042883497613362256,0.0,0.4344917619871733,0.025017776349966755,0.007116502386637746,0.05,0.38449176198717333
dense_low_noise,0.05,77,0.0733759893361885,0.07202624161866328,0.06871977413237411,0.47423081661971256,0.023375989336188494,0.022026241618663275,0.018719774132374106,0.42423081661971257
dense_low_noise,0.05,78,0.05457931800071379,3.9443045221607546e-31,0.030365331574536383,0.43602855036745714,0.004579318000713789,0.05,0.01963466842546362,0.38602855036745715
dense_low_noise,0.05,79,0.08585394264119542,0.062010106466089523,0.02512031227498211,0.42895514482536673,0.035853942641195416,0.01201010646608952,0.024879687725017894,0.37895514482536674
dense_low_noise,0.05,80,0.08084208415987684,0.02556517490890474,0.057686377163886776,0.46950537741446885,0.03084208415987684,0.024434825091095264,0.007686377163886773,0.41950537741446886
dense_low_noise,0.05,81,0.09123914977288311,0.024448451545255726,0.057159093588752305,0.4423136918051463,0.04123914977288311,0.025551548454744277,0.007159093588752302,0.3923136918051463
dense_low_noise,0.05,82,0.08038715275007374,0.08049789793023407,0.0,0.44462076202094064,0.03038715275007374,0.030497897930234066,0.05,0.39462076202094065
