e,alpha,a1,a2,mean_collapse_error,max_collapse_error
0.35,2.0,0.75,2.5,2.5224432767231463e-16,2.5989654674417885e-15
0.35,2.0,0.75,4.0,2.7757329666613546e-16,4.5386148174786464e-15
0.35,2.0,1.0,1.5,2.7757329666613546e-16,4.5386148174786464e-15
0.35,2.0,1.0,2.5,3.3283626279903447e-16,3.798922425309567e-15
0.35,2.0,1.0,4.0,0.0,0.0
0.35,2.0,1.5,2.5,2.5224432767231463e-16,2.5989654674417885e-15
0.35,2.0,1.5,4.0,2.7757329666613546e-16,4.5386148174786464e-15
0.35,2.0,2.5,4.0,3.3283626279903447e-16,3.798922425309567e-15
0.4,0.5,0.75,1.0,6.664059934516442e-11,3.332000937312528e-08
0.4,0.5,0.75,1.5,0.0,0.0
0.4,0.5,0.75,2.5,4.647040458522237e-16,6.712087874207546e-15
0.4,0.5,0.75,4.0,6.664059934516442e-11,3.332000937312528e-08
0.4,0.5,1.0,1.5,6.664059934516442e-11,3.332000937312528e-08
0.4,0.5,1.0,2.5,6.664048939638621e-11,3.332000937312528e-08
0.4,0.5,1.0,4.0,0.0,0.0
0.4,0.5,1.5,2.5,4.647040458522237e-16,6.712087874207546e-15
0.4,0.5,1.5,4.0,6.664059934516442e-11,3.332000937312528e-08
0.4,0.5,2.5,4.0,6.664048939638621e-11,3.332000937312528e-08
0.4,0.75,0.75,1.0,4.4427130405330274e-11,2.221333958208352e-08
0.4,0.75,0.75,1.5,0.0,0.0
0.4,0.75,0.75,2.5,3.594334886049791e-16,4.502994650950251e-15
0.4,0.75,0.75,4.0,4.4427130405330274e-11,2.221333958208352e-08
0.4,0.75,1.0,1.5,4.4427130405330274e-11,2.221333958208352e-08
0.4,0.75,1.0,2.5,4.4427052392776426e-11,2.221333958208352e-08
0.4,0.75,1.0,4.0,0.0,0.0
0.4,0.75,1.5,2.5,3.594334886049791e-16,4.502994650950251e-15
0.4,0.75,1.5,4.0,4.4427130405330274e-11,2.221333958208352e-08
0.4,0.75,2.5,4.0,4.4427052392776426e-11,2.221333958208352e-08
0.4,1.0,0.75,1.0,3.3320391153702146e-11,1.6660004686562644e-08
0.4,1.0,0.75,1.5,0.0,0.0
0.4,1.0,0.75,2.5,2.973754198716874e-16,3.3903012404648442e-15
0.4,1.0,0.75,4.0,3.3320391153702146e-11,1.6660004686562644e-08
0.4,1.0,1.0,1.5,3.3320391153702146e-11,1.6660004686562644e-08
0.4,1.0,1.0,2.5,3.332032290783841e-11,1.6660004686562644e-08
0.4,1.0,1.0,4.0,0.0,0.0
0.4,1.0,1.5,2.5,2.973754198716874e-16,3.3903012404648442e-15
0.4,1.0,1.5,4.0,3.3320391153702146e-11,1.6660004686562644e-08
0.4,1.0,2.5,4.0,3.332032290783841e-11,1.6660004686562644e-08
0.4,1.5,0.75,1.0,2.2213665843281544e-11,1.1106669791041762e-08
0.4,1.5,0.75,1.5,0.0,0.0
0.4,1.5,0.75,2.5,2.5261439014509496e-16,2.302249291442634e-15
0.4,1.5,0.75,4.0,2.2213665843281544e-11,1.1106669791041762e-08
0.4,1.5,1.0,1.5,2.2213665843281544e-11,1.1106669791041762e-08
0.4,1.5,1.0,2.5,2.221361185573077e-11,1.1106669791041762e-08
0.4,1.5,1.0,4.0,0.0,0.0
0.4,1.5,1.5,2.5,2.5261439014509496e-16,2.302249291442634e-15
0.4,1.5,1.5,4.0,2.2213665843281544e-11,1.1106669791041762e-08
0.4,1.5,2.5,4.0,2.221361185573077e-11,1.1106669791041762e-08
0.4,2.0,0.75,1.0,1.6660302688277158e-11,8.330002343281324e-09
0.4,2.0,0.75,1.5,0.0,0.0
0.4,2.0,0.75,2.5,2.2675249897020907e-16,1.7620009133371168e-15
0.4,2.0,0.75,4.0,1.6660302688277158e-11,8.330002343281324e-09
0.4,2.0,1.0,1.5,1.6660302688277158e-11,8.330002343281324e-09
0.4,2.0,1.0,2.5,1.666025245623426e-11,8.330002343281324e-09
0.4,2.0,1.0,4.0,0.0,0.0
0.4,2.0,1.5,2.5,2.2675249897020907e-16,1.7620009133371168e-15
0.4,2.0,1.5,4.0,1.6660302688277158e-11,8.330002343281324e-09
0.4,2.0,2.5,4.0,1.666025245623426e-11,8.330002343281324e-09
0.45,0.5,0.75,1.0,7.434056686366254e-11,3.7170026568312855e-08
0.45,0.5,0.75,1.5,0.0,0.0
0.45,0.5,0.75,2.5,7.434058288906617e-11,3.7170026568312855e-08
0.45,0.5,0.75,4.0,7.434056686366254e-11,3.7170026568312855e-08
0.45,0.5,1.0,1.5,7.434056686366254e-11,3.7170026568312855e-08
0.45,0.5,1.0,2.5,5.033073300011995e-16,1.8473811720736412e-14
0.45,0.5,1.0,4.0,0.0,0.0
0.45,0.5,1.5,2.5,7.434058288906617e-11,3.7170026568312855e-08
0.45,0.5,1.5,4.0,7.434056686366254e-11,3.7170026568312855e-08
0.45,0.5,2.5,4.0,5.033073300011995e-16,1.8473811720736412e-14
0.45,0.75,0.75,1.0,4.9560428428724186e-11,2.4780017712208572e-08
0.45,0.75,0.75,1.5,0.0,0.0
0.45,0.75,0.75,2.5,4.956044440720868e-11,2.4780017712208572e-08
0.45,0.75,0.75,4.0,4.9560428428724186e-11,2.4780017712208572e-08
0.45,0.75,1.0,1.5,4.9560428428724186e-11,2.4780017712208572e-08
0.45,0.75,1.0,2.5,3.885963238266572e-16,1.2320255755989e-14
0.45,0.75,1.0,4.0,0.0,0.0
0.45,0.75,1.5,2.5,4.956044440720868e-11,2.4780017712208572e-08
0.45,0.75,1.5,4.0,4.9560428428724186e-11,2.4780017712208572e-08
0.45,0.75,2.5,4.0,3.885963238266572e-16,1.2320255755989e-14
0.45,1.0,0.75,1.0,3.7170357576170664e-11,1.858501328415643e-08
0.45,1.0,0.75,1.5,0.0,0.0
0.45,1.0,0.75,2.5,3.717036413658087e-11,1.858501328415643e-08
0.45,1.0,0.75,4.0,3.7170357576170664e-11,1.858501328415643e-08
0.45,1.0,1.0,1.5,3.7170357576170664e-11,1.858501328415643e-08
0.45,1.0,1.0,2.5,3.201146813898532e-16,9.26139344786865e-15
0.45,1.0,1.0,4.0,0.0,0.0
0.45,1.0,1.5,2.5,3.717036413658087e-11,1.858501328415643e-08
0.45,1.0,1.5,4.0,3.7170357576170664e-11,1.858501328415643e-08
