condition,trial,true_rho,true_t,true_h,true_w1,true_w2,true_w3,true_alpha,true_rotation_shift,baseline_geometry_mae,baseline_weight_mae,baseline_alpha_error,baseline_fit_rmse,harmonic_geometry_mae,harmonic_weight_mae,harmonic_alpha_error,harmonic_fit_rmse,pca_geometry_mae,pca_weight_mae,pca_alpha_error,pca_fit_rmse,oracle_geometry_mae,oracle_weight_mae,oracle_alpha_error,oracle_fit_rmse
full_clean,31,0.12125467221640335,-0.25940544386294206,0.7655955694524939,0.2855866306700741,0.08483390881273199,0.6295794605171939,0.6122003291316451,11,0.05715940868910833,0.30938039083724567,1.0130302218343956,0.0022343853993334424,0.05715940868910833,0.30938039083724567,1.0130302218343956,0.0022343853993334424,0.05715940868910833,0.30938039083724567,1.0130302218343956,0.0022343853993334424,0.09211593179719911,0.05761346236778051,0.0049986005763030805,0.009860487932964875
full_clean,32,0.15295265171754802,-0.5436672757618073,1.1882090036431914,0.29008055815928296,0.3781492997075435,0.3317701421331736,1.7970765955597965,5,0.14101155881249966,0.2511653229764498,0.03159641812799374,0.00945056463708546,0.16548567348679147,0.20414576945292304,0.055331125422359406,0.014132907666122857,0.16548567348679147,0.20414576945292304,0.055331125422359406,0.014132907666122857,0.16548567348679147,0.20414576945292304,0.055331125422359406,0.014132907666122857
full_clean,33,0.1517261627385944,0.5794909558736469,0.8176653372455189,0.19123299697183926,0.6105030813316107,0.19826392169655005,1.7293875485829429,47,0.04073476797221651,0.1262380678829841,0.05588852338159067,0.010871293098268984,0.04073476797221651,0.1262380678829841,0.05588852338159067,0.010871293098268982,0.04073476797221651,0.1262380678829841,0.05588852338159067,0.010871293098268982,0.04073476797221651,0.1262380678829841,0.05588852338159067,0.010871293098268982
full_clean,34,0.19103792360726232,-0.1214699237626339,1.355750430609021,0.2274267864218449,0.6020219049407302,0.17055130863742496,1.2616583720267749,61,0.09744767640982087,0.06999157808141342,0.0746294557121161,0.020334113674207187,0.09744767640982087,0.06999157808141342,0.0746294557121161,0.020334113674207187,0.09744767640982087,0.06999157808141342,0.0746294557121161,0.020334113674207187,0.09744767640982087,0.06999157808141342,0.0746294557121161,0.020334113674207187
full_clean,35,0.09168977141461744,-0.13089504070518043,0.6812505304447957,0.16195185734624717,0.24570404352466774,0.5923440991290851,0.9287223230288059,4,0.019194073641373835,0.2249916342562511,0.14840669154743502,0.005553181282798889,0.019194073641373835,0.2249916342562511,0.14840669154743502,0.005553181282798889,0.019194073641373835,0.2249916342562511,0.14840669154743502,0.005553181282798889,0.03434590966740602,0.017088676965848315,0.024894131752815518,0.009165866485817834
full_clean,36,0.1290193742164786,-0.27365324793659546,0.9598415421777143,0.21526882566562802,0.5192507344378643,0.2654804398965077,0.6692805503644701,3,0.13349798216717368,0.07644523802185187,0.01264551250916146,0.004171935926309197,0.13349798216717368,0.07644523802185187,0.01264551250916146,0.004171935926309197,0.13349798216717368,0.07644523802185187,0.01264551250916146,0.004171935926309197,0.14357296635987268,0.1274493964601501,0.012322953022932848,0.013824113146401685
full_clean,37,0.1677910836878993,0.4326698947747272,0.9869818394424021,0.1992772021369625,0.7177157997459713,0.08300699811706613,0.7357043871189005,14,0.05399173707209026,0.26164219263404154,0.6052349612576134,0.004838790445538374,0.05399173707209026,0.26164219263404154,0.6052349612576134,0.004838790445538374,0.05399173707209026,0.26164219263404154,0.6052349612576134,0.004838790445538374,0.07941187923488544,0.15039493722572075,0.015491574815391873,0.011144731135404373
full_clean,38,0.1889199331579862,-0.5528432976441604,1.0433496649492486,0.0833602521116992,0.07092399756515233,0.8457157503231485,1.7997314092039487,28,0.1900716895012581,0.10729857477952814,0.03425123177214595,0.008341425807842107,0.1900716895012581,0.10729857477952814,0.03425123177214595,0.008341425807842107,0.1900716895012581,0.10729857477952814,0.03425123177214595,0.008341425807842107,0.1900716895012581,0.10729857477952814,0.03425123177214595,0.008341425807842107
full_clean,39,0.09617253548728368,0.1950823771269223,0.7013375072131951,0.2799883447243658,0.3057382222543022,0.41427343302133196,1.4087735974140392,3,0.0696661209313272,0.18536938978117146,0.010274797631087962,0.00396377889539059,0.0696661209313272,0.18536938978117146,0.010274797631087962,0.00396377889539059,0.0696661209313272,0.18536938978117146,0.010274797631087962,0.00396377889539059,0.0696661209313272,0.18536938978117146,0.010274797631087962,0.00396377889539059
full_noisy,0,0.12382867154119294,0.15054534625066365,0.8571840868023136,0.5237660730267755,0.4669435680977733,0.00929035887545121,1.7538381591931207,6,0.10699874848797068,0.12884060798735505,0.06029074538590784,0.009719698489427527,0.10699874848797068,0.12884060798735505,0.06029074538590784,0.009719698489427527,0.10699874848797068,0.12884060798735505,0.06029074538590784,0.009719698489427527,0.10699874848797068,0.12884060798735505,0.06029074538590784,0.009719698489427527
